chr,midpos,nsites_fly,fst_fly,top_5_fly,nsites_crow,fst_crow,top_5_crow,nsites_will,fst_will,top_5_will,nsites_black,fst_black,top_5_black,nsites_green,fst_green,top_5_green,nsites_blue,fst_blue,top_5_blue,nsites_swain,fst_swain,top_5_swain,nsites_stone,fst_stone,top_5_stone
Chromosome_1,1450001,71887,0.17627,0,2076,0.02626,0,601,0.022481,0,1045,0.004157,0,91,0.083364,0,15335,0.023693,0,58,0.04093493,0,182,0.19529816,0
Chromosome_1,1550001,75552,0.187722,0,794,0.065009,0,7157,0.032585,0,988,0.008987,0,135,0.039858,0,21598,0.023633,0,34,0.11375447,0,147,0.18164209,0
Chromosome_1,1650001,80955,0.171719,0,350,0.028782,0,96,0.068348,1,649,0.013968,0,318,0.018567,0,30176,0.028356,0,122,0.07732278,0,302,0.14997513,0
Chromosome_1,1750001,60646,0.133435,0,4982,0.054517,0,13752,0.031885,0,628,0.003091,0,NA,NA,NA,23153,0.026397,0,161,0.05658563,0,372,0.13419141,0
Chromosome_1,1850001,78737,0.170765,0,43518,0.039285,0,7808,0.030296,0,694,0.014672,0,56,0.015474,0,31912,0.02278,0,215,0.05366944,0,4,0.12258689,0
Chromosome_1,1950001,71499,0.15545,0,30868,0.047,0,1578,0.020073,0,579,0.0041,0,NA,NA,NA,11559,0.023232,0,NA,NA,NA,15,0.02916829,0
Chromosome_1,2050001,68761,0.180217,0,10546,0.030899,0,2055,0.037599,0,1131,0.013522,0,215,0.096455,0,18677,0.035769,0,122,0.03977252,0,367,0.20267545,0
Chromosome_1,2150001,71177,0.203217,0,655,0.04253,0,829,0.021946,0,2272,0.008502,0,NA,NA,NA,20004,0.022073,0,90,0.03998352,0,355,0.17612357,0
Chromosome_1,2250001,64370,0.168671,0,31199,0.030815,0,29625,0.029895,0,27574,0.01742,0,20,0.016754,0,15435,0.018314,0,345,0.05433515,0,25,0.27412968,0
Chromosome_1,2350001,82508,0.162458,0,53469,0.054543,0,53520,0.032048,0,50714,0.014616,0,125,0.007297,0,34286,0.024862,0,418,0.0549095,0,676,0.20512889,0
Chromosome_1,2450001,78401,0.179235,0,46572,0.039192,0,47262,0.03199,0,38010,0.015068,0,190,0.140636,0,23117,0.026295,0,40,0.08453695,0,555,0.26128142,0
Chromosome_1,2550001,87806,0.198886,0,51946,0.039624,0,51161,0.032212,0,48844,0.016971,0,826,0.052093,0,31046,0.023102,0,223,0.08205548,0,722,0.21880761,0
Chromosome_1,2650001,90394,0.185668,0,57152,0.035663,0,57605,0.032513,0,52053,0.017681,0,300,0.098369,0,39741,0.023523,0,203,0.07870294,0,454,0.25555999,0
Chromosome_1,2750001,82677,0.190044,0,54380,0.031941,0,54493,0.030188,0,44898,0.014722,0,156,0.106108,0,34192,0.024936,0,421,0.06188306,0,533,0.29237135,0
Chromosome_1,2850001,86026,0.186224,0,46860,0.045362,0,52705,0.02688,0,52118,0.012986,0,806,0.10646,0,29325,0.023331,0,207,0.06996282,0,665,0.26741621,0
Chromosome_1,2950001,89765,0.209109,0,49906,0.037261,0,NA,NA,NA,50404,0.012483,0,268,0.081277,0,16999,0.025209,0,44,0.07514272,0,641,0.30553197,0
Chromosome_1,3050001,92053,0.194108,0,66438,0.058611,0,NA,NA,NA,63401,0.015364,0,860,0.07516,0,37587,0.025141,0,460,0.07128773,0,615,0.28245232,0
Chromosome_1,3150001,86713,0.197688,0,64219,0.042321,0,488,0.021845,0,56029,0.016677,0,979,0.210444,0,47908,0.025746,0,398,0.0630927,0,513,0.25138926,0
Chromosome_1,3250001,91112,0.193046,0,68737,0.043202,0,535,0.050484,1,64574,0.0159,0,700,0.297251,0,54071,0.028953,0,344,0.07230024,0,626,0.29021811,0
Chromosome_1,3350001,72361,0.170849,0,50894,0.032703,0,342,0.027579,0,51195,0.018646,0,700,0.06918,0,45253,0.025804,0,515,0.07288935,0,514,0.2488141,0
Chromosome_1,3450001,86468,0.214165,0,64698,0.038187,0,1419,0.018868,0,58910,0.014139,0,588,0.12154,0,52051,0.026847,0,637,0.06995288,0,548,0.23587559,0
Chromosome_1,3550001,87600,0.217943,0,67996,0.035239,0,38,0.017683,0,66867,0.014811,0,697,0.086495,0,63465,0.027858,0,575,0.06879414,0,795,0.25276576,0
Chromosome_1,3650001,89125,0.222637,0,72765,0.051706,0,270,0.033641,0,68897,0.017374,0,1400,0.087582,0,64063,0.028125,0,562,0.06990312,0,561,0.27478855,0
Chromosome_1,3750001,90315,0.222967,0,67229,0.039837,0,491,0.023428,0,55660,0.014654,0,527,0.043164,0,60622,0.025943,0,472,0.07609719,0,478,0.26748379,0
Chromosome_1,3850001,87070,0.197826,0,58874,0.03719,0,15,0.024609,0,57504,0.015667,0,872,0.077563,0,51806,0.030965,0,488,0.08020271,0,439,0.25972682,0
Chromosome_1,3950001,92610,0.220065,0,71649,0.049372,0,660,0.013159,0,74202,0.017126,0,754,0.186081,0,64464,0.029811,0,504,0.08101071,0,841,0.29561388,0
Chromosome_1,4050001,87374,0.201484,0,64488,0.03931,0,674,0.027091,0,64071,0.01524,0,1132,0.06944,0,49230,0.025884,0,741,0.06998168,0,437,0.28959583,0
Chromosome_1,4150001,92133,0.197065,0,77333,0.038222,0,943,0.028531,0,73835,0.016624,0,1594,0.190123,0,69734,0.026839,0,544,0.08411343,0,555,0.28048771,0
Chromosome_1,4250001,92515,0.229087,0,77212,0.039699,0,349,0.053332,1,78720,0.014272,0,1644,0.253597,0,73370,0.027004,0,689,0.0756839,0,755,0.28045312,0
Chromosome_1,4350001,69330,0.195766,0,55590,0.029367,0,262,0.043624,1,53984,0.01334,0,402,0.070865,0,51678,0.026149,0,551,0.08231574,0,792,0.23322406,0
Chromosome_1,4450001,93246,0.200545,0,74524,0.054777,0,642,0.034182,0,74828,0.015638,0,897,0.058611,0,73167,0.029983,0,799,0.07538403,0,913,0.24883479,0
Chromosome_1,4550001,87977,0.202112,0,74988,0.050927,0,1327,0.039084,1,73707,0.018245,0,885,0.134209,0,73660,0.030855,0,605,0.07486288,0,654,0.29973964,0
Chromosome_1,4650001,95235,0.220575,0,77345,0.053245,0,NA,NA,NA,73357,0.019494,0,383,0.092878,0,74500,0.029264,0,606,0.07219565,0,737,0.2862559,0
Chromosome_1,4750001,92929,0.224107,0,75252,0.041428,0,497,0.018658,0,70982,0.015643,0,1163,0.274592,0,69069,0.028344,0,1088,0.07008164,0,759,0.31247967,0
Chromosome_1,4850001,95324,0.192567,0,78458,0.050762,0,678,0.017359,0,75676,0.018962,0,758,0.227637,0,67109,0.027567,0,865,0.07698821,0,551,0.27867037,0
Chromosome_1,4950001,89761,0.227987,0,68587,0.069389,0,301,0.034924,0,62902,0.015878,0,1138,0.174596,0,65094,0.030438,0,613,0.07353987,0,752,0.26077675,0
Chromosome_1,5050001,94305,0.217861,0,73984,0.039126,0,250,0.033368,0,67710,0.017565,0,1144,0.143916,0,68518,0.029237,0,878,0.06623432,0,729,0.27123877,0
Chromosome_1,5150001,92239,0.224552,0,78601,0.04696,0,515,0.027026,0,76744,0.01622,0,1672,0.138099,0,74457,0.02911,0,819,0.07962337,0,606,0.30518152,0
Chromosome_1,5250001,91453,0.194871,0,77175,0.040376,0,584,0.022326,0,73855,0.012874,0,1178,0.100827,0,72278,0.028049,0,985,0.06667303,0,692,0.2802214,0
Chromosome_1,5350001,91168,0.211748,0,74531,0.035824,0,196,0.018114,0,67949,0.016595,0,1396,0.161913,0,62344,0.026168,0,1230,0.07300686,0,951,0.24921248,0
Chromosome_1,5450001,93745,0.205672,0,72361,0.04771,0,35758,0.027124,0,69152,0.018109,0,1382,0.114462,0,63783,0.029712,0,982,0.06404134,0,591,0.29317206,0
Chromosome_1,5550001,74750,0.167665,0,52626,0.050311,0,389,0.034626,0,50096,0.01712,0,506,0.103763,0,49146,0.026177,0,620,0.07220777,0,617,0.30585793,0
Chromosome_1,5650001,95275,0.213171,0,73584,0.039819,0,410,0.036496,0,73347,0.019367,0,2952,0.18339,0,65561,0.028831,0,731,0.07723291,0,554,0.32620145,0
Chromosome_1,5750001,89450,0.186292,0,76318,0.047868,0,97,0.037537,0,75112,0.021563,0,1599,0.146887,0,70308,0.029213,0,735,0.07406329,0,635,0.31380732,0
Chromosome_1,5850001,93327,0.193345,0,72512,0.053176,0,6736,0.032944,0,65823,0.016258,0,1861,0.262095,0,64030,0.028668,0,782,0.06915093,0,456,0.24823296,0
Chromosome_1,5950001,94448,0.211622,0,74051,0.065903,0,73221,0.029772,0,70623,0.019581,0,2575,0.229686,0,66032,0.027241,0,1022,0.06969782,0,482,0.27178035,0
Chromosome_1,6050001,85874,0.272438,0,74179,0.045669,0,74451,0.033895,0,73749,0.017303,0,1175,0.140028,0,70183,0.028155,0,960,0.07609089,0,417,0.31705384,0
Chromosome_1,6150001,96766,0.240849,0,80596,0.051455,0,82209,0.033039,0,79328,0.014935,0,2358,0.231212,0,78577,0.029751,0,1338,0.06675442,0,518,0.33708865,0
Chromosome_1,6250001,87460,0.237512,0,72387,0.045703,0,75390,0.029437,0,74198,0.017188,0,1651,0.235053,0,71400,0.02943,0,992,0.09729801,0,746,0.3009886,0
Chromosome_1,6350001,96378,0.219374,0,79594,0.060212,0,79137,0.032276,0,76632,0.015704,0,1273,0.249023,0,74334,0.029121,0,1056,0.07360754,0,667,0.3024911,0
Chromosome_1,6450001,95976,0.232792,0,79241,0.060648,0,81015,0.030206,0,73137,0.015512,0,922,0.199229,0,76532,0.029921,0,1185,0.07351686,0,617,0.29087698,0
Chromosome_1,6550001,96746,0.259229,0,77482,0.064189,0,79804,0.030171,0,77313,0.015104,0,1473,0.147472,0,76479,0.028494,0,1011,0.08151562,0,705,0.30814486,0
Chromosome_1,6650001,95652,0.258654,0,83693,0.033848,0,83068,0.033741,0,80966,0.018868,0,1413,0.148696,0,79549,0.02789,0,1090,0.07767976,0,788,0.30166614,0
Chromosome_1,6750001,94152,0.234352,0,82085,0.06553,0,81043,0.031012,0,80237,0.017843,0,1120,0.387459,0,78974,0.027404,0,1066,0.08742785,0,532,0.30498526,0
Chromosome_1,6850001,92242,0.228526,0,76672,0.066534,0,78552,0.030088,0,76576,0.018729,0,1705,0.252459,0,76048,0.028134,0,1015,0.07905779,0,444,0.32138804,0
Chromosome_1,6950001,95913,0.268294,0,85736,0.044334,0,84632,0.032314,0,82845,0.016613,0,765,0.153502,0,81707,0.028337,0,836,0.07884087,0,598,0.32186468,0
Chromosome_1,7050001,89669,0.226469,0,77029,0.039269,0,77559,0.030025,0,66156,0.018595,0,1542,0.188693,0,71480,0.026073,0,834,0.07399082,0,523,0.28681457,0
Chromosome_1,7150001,98903,0.30249,0,86002,0.056967,0,85073,0.033299,0,84004,0.018143,0,926,0.162661,0,82211,0.02828,0,1073,0.08246036,0,810,0.35647585,0
Chromosome_1,7250001,90266,0.268474,0,73380,0.055158,0,75810,0.03385,0,73393,0.012144,0,993,0.227668,0,72273,0.029279,0,1145,0.07568709,0,541,0.2760442,0
Chromosome_1,7350001,94940,0.251341,0,82729,0.128146,1,81822,0.027939,0,79953,0.01508,0,644,0.097063,0,79316,0.029467,0,1757,0.07895199,0,598,0.33252056,0
Chromosome_1,7450001,92630,0.223493,0,74530,0.140926,1,76705,0.029197,0,68126,0.016494,0,1688,0.310174,0,73550,0.031308,0,1212,0.07459524,0,670,0.23984118,0
Chromosome_1,7550001,92313,0.240263,0,76174,0.049739,0,77427,0.031061,0,75600,0.016797,0,1191,0.160683,0,71819,0.028395,0,1303,0.0736039,0,839,0.29693492,0
Chromosome_1,7650001,96328,0.259779,0,80748,0.067989,0,80488,0.031279,0,79345,0.020778,0,1340,0.213201,0,76193,0.023236,0,1341,0.07197942,0,811,0.33348197,0
Chromosome_1,7750001,96072,0.218711,0,80972,0.070661,0,80952,0.036912,0,80860,0.017583,0,745,0.197976,0,77718,0.031244,0,1686,0.06733049,0,630,0.34810251,0
Chromosome_1,7850001,95989,0.25488,0,84157,0.05302,0,83457,0.032115,0,82794,0.015763,0,1039,0.251952,0,80261,0.024372,0,1267,0.08158917,0,647,0.31023558,0
Chromosome_1,7950001,94158,0.246032,0,78451,0.053146,0,81088,0.029643,0,78791,0.018717,0,1538,0.251111,0,76201,0.0267,0,1347,0.07387004,0,622,0.34212001,0
Chromosome_1,8050001,96489,0.259834,0,76806,0.074634,0,80372,0.026599,0,80069,0.016,0,479,0.188985,0,79608,0.025783,0,934,0.07649641,0,889,0.31188958,0
Chromosome_1,8150001,97112,0.273917,0,81210,0.066907,0,83035,0.029398,0,82118,0.011316,0,766,0.298943,0,80199,0.02935,0,1116,0.08610021,0,847,0.30016184,0
Chromosome_1,8250001,86611,0.254425,0,76210,0.043514,0,72847,0.032712,0,74825,0.011909,0,2249,0.181,0,70372,0.024639,0,1235,0.08358928,0,596,0.38171559,0
Chromosome_1,8350001,97563,0.290103,0,83437,0.053744,0,84119,0.028443,0,84831,0.014877,0,963,0.26034,0,80993,0.027288,0,1085,0.09101999,0,439,0.31419863,0
Chromosome_1,8450001,91511,0.283114,0,80912,0.066386,0,83284,0.029346,0,80540,0.02163,0,930,0.199733,0,79377,0.027698,0,1070,0.09055133,0,479,0.34376499,0
Chromosome_1,8550001,96034,0.196888,0,82865,0.056664,0,84752,0.031731,0,76142,0.016477,0,2490,0.290288,0,80193,0.023755,0,1358,0.06539886,0,413,0.31082177,0
Chromosome_1,8650001,80500,0.257337,0,49683,0.060651,0,75096,0.030455,0,71259,0.015789,0,1558,0.228228,0,55592,0.028225,0,752,0.07481257,0,235,0.32242544,0
Chromosome_1,8750001,82122,0.24773,0,69532,0.055259,0,73540,0.029653,0,70199,0.01921,0,1373,0.189201,0,68725,0.026598,0,877,0.07381986,0,279,0.31828689,0
Chromosome_1,8850001,96193,0.225625,0,86668,0.054289,0,87031,0.02856,0,85545,0.017234,0,1518,0.386859,0,82461,0.027078,0,1495,0.07148783,0,456,0.32139675,0
Chromosome_1,8950001,91658,0.232336,0,77850,0.05172,0,77710,0.031625,0,76866,0.013969,0,1712,0.165652,0,73813,0.027522,0,1330,0.07254759,0,572,0.29732071,0
Chromosome_1,9050001,92853,0.205894,0,78356,0.052419,0,78614,0.032978,0,78105,0.019813,0,2512,0.286638,0,75527,0.027676,0,1162,0.07633534,0,434,0.2998153,0
Chromosome_1,9150001,91577,0.250185,0,74473,0.051673,0,75571,0.032451,0,73717,0.014162,0,2202,0.199638,0,69874,0.027552,0,1325,0.07860439,0,539,0.31935734,0
Chromosome_1,9250001,91102,0.206408,0,76531,0.034141,0,76798,0.029037,0,75806,0.021091,0,1496,0.164027,0,71305,0.024271,0,1034,0.0794876,0,569,0.35591817,0
Chromosome_1,9350001,93799,0.203874,0,79332,0.044914,0,78202,0.032536,0,77789,0.022353,0,1503,0.274668,0,75990,0.028359,0,1688,0.08135984,0,749,0.32417185,0
Chromosome_1,9450001,91459,0.18918,0,76569,0.037442,0,78611,0.034108,0,76281,0.012892,0,1274,0.163678,0,71409,0.0237,0,1031,0.09434002,0,707,0.31685995,0
Chromosome_1,9550001,94118,0.226492,0,78665,0.050411,0,78663,0.031029,0,76551,0.017582,0,1020,0.254606,0,74035,0.024546,0,1003,0.08983075,0,1003,0.31581869,0
Chromosome_1,9650001,99417,0.248236,0,86587,0.045221,0,86589,0.02821,0,85782,0.022235,0,1070,0.240144,0,82675,0.026249,0,1351,0.08699719,0,741,0.329696,0
Chromosome_1,9750001,94219,0.208661,0,80621,0.039289,0,83106,0.028689,0,82234,0.020042,0,750,0.25397,0,78050,0.029833,0,1393,0.0817315,0,863,0.2546363,0
Chromosome_1,9850001,97732,0.242694,0,81329,0.048239,0,81412,0.027633,0,79172,0.015638,0,510,0.075971,0,74878,0.030234,0,745,0.08747453,0,858,0.30550731,0
Chromosome_1,9950001,97717,0.270305,0,81848,0.046904,0,80447,0.034861,0,77076,0.023221,0,336,0.044288,0,75454,0.027861,0,763,0.08986153,0,1222,0.27805707,0
Chromosome_1,10050001,94973,0.254114,0,77066,0.061315,0,77331,0.030085,0,77681,0.018416,0,580,0.182834,0,71029,0.02593,0,1011,0.08878169,0,1370,0.20195,0
Chromosome_1,10150001,98833,0.249297,0,81951,0.055099,0,83347,0.028267,0,82560,0.016344,0,1450,0.220428,0,79044,0.023382,0,1066,0.08494506,0,970,0.28293452,0
Chromosome_1,10250001,98688,0.241817,0,83371,0.061803,0,1261,0.025133,0,80998,0.028345,1,817,0.072692,0,80210,0.030133,0,1117,0.07971988,0,902,0.30203076,0
Chromosome_1,10350001,96296,0.232958,0,81662,0.050227,0,46,0.172548,1,74487,0.014562,0,586,0.024666,0,77988,0.026464,0,871,0.08030776,0,830,0.29577236,0
Chromosome_1,10450001,98060,0.244969,0,80220,0.064341,0,30585,0.026938,0,79780,0.016114,0,269,0.269953,0,73315,0.027195,0,1006,0.07970813,0,1033,0.28807561,0
Chromosome_1,10550001,96633,0.252412,0,83178,0.054842,0,8,0.040147,1,77903,0.013816,0,1129,0.147883,0,79702,0.027639,0,954,0.08927168,0,952,0.25644173,0
Chromosome_1,10650001,83326,0.214782,0,63954,0.046961,0,NA,NA,NA,64856,0.020352,0,335,0.043313,0,60688,0.025446,0,925,0.07496193,0,845,0.27040991,0
Chromosome_1,10750001,96830,0.291676,0,82853,0.068278,0,303,0.03821,0,82454,0.017361,0,879,0.421439,0,78648,0.026742,0,1005,0.090755,0,907,0.27047813,0
Chromosome_1,10850001,96859,0.299588,0,81759,0.092164,1,NA,NA,NA,82995,0.017569,0,484,0.315387,0,80734,0.02756,0,1061,0.09392445,0,656,0.30417963,0
Chromosome_1,10950001,96657,0.349961,0,79526,0.088103,1,74618,0.032643,0,74627,0.017814,0,311,0.407735,0,76861,0.028472,0,837,0.10017775,0,927,0.30463041,0
Chromosome_1,11050001,95374,0.300532,0,76658,0.064391,0,78297,0.026102,0,75048,0.017053,0,629,0.094882,0,73916,0.029219,0,745,0.10181686,0,1168,0.2639438,0
Chromosome_1,11150001,88799,0.318755,0,74079,0.056041,0,72004,0.039828,1,71126,0.010689,0,186,0.165357,0,66092,0.028545,0,645,0.11248795,0,865,0.2958037,0
Chromosome_1,11250001,97320,0.29222,0,81069,0.074369,0,81792,0.029863,0,79055,0.014999,0,NA,NA,NA,75076,0.030461,0,668,0.12231641,0,1029,0.3205805,0
Chromosome_1,11350001,97030,0.301782,0,81223,0.054371,0,82214,0.035471,0,78497,0.016844,0,336,0.098745,0,74715,0.031088,0,873,0.08458526,0,1150,0.31477805,0
Chromosome_1,11450001,97826,0.292353,0,82744,0.073328,0,80130,0.03273,0,80417,0.016645,0,719,0.379488,0,72498,0.025212,0,928,0.09060555,0,854,0.38561767,0
Chromosome_1,11550001,97653,0.257842,0,82700,0.058938,0,82766,0.029101,0,81767,0.013054,0,908,0.323534,0,72735,0.029351,0,800,0.09968759,0,762,0.3410116,0
Chromosome_1,11650001,96931,0.292549,0,83239,0.049576,0,82093,0.024981,0,81990,0.016991,0,516,0.127947,0,77006,0.028294,0,828,0.09557249,0,902,0.33028955,0
Chromosome_1,11750001,98664,0.254451,0,86339,0.057357,0,86549,0.037156,0,86821,0.02201,0,631,0.396196,0,82481,0.025681,0,973,0.1037089,0,1010,0.31953589,0
Chromosome_1,11850001,94390,0.265205,0,85744,0.07885,0,85269,0.032932,0,85471,0.022128,0,1029,0.194247,0,83656,0.02737,0,1007,0.0963731,0,562,0.30713631,0
Chromosome_1,11950001,95695,0.334983,0,83801,0.081665,0,83160,0.033604,0,79426,0.014191,0,1767,0.349757,0,78972,0.031804,0,1168,0.08839483,0,652,0.36610781,0
Chromosome_1,12050001,92370,0.30838,0,77041,0.063961,0,80616,0.03002,0,75968,0.018792,0,1243,0.287706,0,73133,0.02396,0,897,0.12358655,0,828,0.39849052,0
Chromosome_1,12150001,99223,0.248255,0,83399,0.085313,1,84571,0.025092,0,82999,0.013591,0,538,0.333345,0,74136,0.030289,0,850,0.09639696,0,1003,0.32749385,0
Chromosome_1,12250001,92789,0.30526,0,77450,0.082034,0,77447,0.030303,0,77074,0.022419,0,539,0.128273,0,74859,0.033816,0,880,0.08423855,0,946,0.32511612,0
Chromosome_1,12350001,94408,0.290528,0,80198,0.058093,0,80713,0.029051,0,79830,0.013905,0,498,0.078643,0,78742,0.028993,0,836,0.09410838,0,1088,0.26157555,0
Chromosome_1,12450001,95286,0.292876,0,80294,0.062134,0,81198,0.032784,0,79219,0.020644,0,803,0.317481,0,76080,0.028008,0,945,0.11811148,0,1027,0.28500643,0
Chromosome_1,12550001,97038,0.235141,0,78739,0.059479,0,81178,0.027737,0,79402,0.014671,0,455,0.331669,0,74413,0.033071,0,844,0.1153974,0,1004,0.30882306,0
Chromosome_1,12650001,93804,0.295323,0,74162,0.045861,0,72590,0.036326,0,73683,0.015068,0,465,0.201182,0,71955,0.028864,0,808,0.09719417,0,885,0.32157721,0
Chromosome_1,12750001,95747,0.272661,0,79369,0.047475,0,78412,0.02702,0,73895,0.021765,0,44,0.018268,0,71564,0.025061,0,723,0.12383215,0,898,0.30979245,0
Chromosome_1,12850001,96916,0.250845,0,72279,0.061189,0,78267,0.0338,0,73010,0.018691,0,423,0.337562,0,70895,0.02551,0,601,0.14073248,0,1308,0.30626272,0
Chromosome_1,12950001,90395,0.247592,0,71562,0.03133,0,70279,0.030165,0,74177,0.01556,0,629,0.476222,0,68808,0.024262,0,644,0.09980607,0,897,0.30801836,0
Chromosome_1,13050001,94784,0.288127,0,82549,0.083958,1,80727,0.029682,0,77404,0.015819,0,538,0.12628,0,77831,0.028887,0,937,0.10404327,0,862,0.28719668,0
Chromosome_1,13150001,90991,0.245483,0,73138,0.083293,0,69308,0.033226,0,50326,0.013653,0,99,0.070311,0,68054,0.029876,0,776,0.12790656,0,926,0.30982763,0
Chromosome_1,13250001,92845,0.238515,0,72961,0.073306,0,74216,0.031962,0,72475,0.010917,0,697,0.432355,0,69344,0.023936,0,884,0.11022974,0,1006,0.29098216,0
Chromosome_1,13350001,92402,0.272175,0,72093,0.082693,0,73014,0.024368,0,66114,0.0203,0,437,0.085472,0,68310,0.023705,0,908,0.12637875,0,980,0.31232371,0
Chromosome_1,13450001,95057,0.266352,0,75252,0.067242,0,78107,0.032295,0,74638,0.019172,0,337,0.544293,0,70122,0.028125,0,1172,0.11320081,0,1165,0.24505892,0
Chromosome_1,13550001,92744,0.282157,0,70690,0.062452,0,71813,0.032215,0,70675,0.012681,0,226,0.143775,0,65422,0.027332,0,955,0.10568374,0,908,0.31910203,0
Chromosome_1,13650001,94997,0.240997,0,77354,0.079398,0,77091,0.030249,0,72989,-0.004045,0,457,0.178094,0,71881,0.025929,0,856,0.11072206,0,1143,0.31721593,0
Chromosome_1,13750001,89113,0.266167,0,63258,0.099107,1,65787,0.035591,0,66519,-0.001561,0,344,0.069215,0,59356,0.025887,0,248,0.10373461,0,1050,0.25468502,0
Chromosome_1,13850001,82686,0.264015,0,55225,0.1147,1,59353,0.034862,0,58682,0.017644,0,122,0.005027,0,57204,0.031636,0,104,0.02097538,0,1111,0.24013286,0
Chromosome_1,13950001,96211,0.275948,0,79990,0.068892,0,77777,0.03647,0,77156,0.018035,0,277,0.446898,0,75469,0.034837,0,NA,NA,NA,870,0.27998701,0
Chromosome_1,14050001,93992,0.307199,0,82865,0.048638,0,82141,0.029335,0,80298,0.020378,0,1194,0.21176,0,78146,0.03038,0,NA,NA,NA,674,0.31603526,0
Chromosome_1,14150001,93459,0.300857,0,76456,0.060849,0,83436,0.029773,0,82756,0.018099,0,1050,0.153864,0,74632,0.027784,0,248,0.13169844,0,490,0.36909521,0
Chromosome_1,14250001,93473,0.347441,0,83185,0.094006,1,83059,0.035486,0,81845,0.016706,0,651,0.474231,0,81612,0.024384,0,640,0.16549938,0,419,0.47746099,1
Chromosome_1,14350001,95766,0.3391,0,83129,0.054432,0,83597,0.026207,0,82919,0.015674,0,895,0.149835,0,81663,0.028188,0,1046,0.13138311,0,402,0.39486022,0
Chromosome_1,14450001,96275,0.293196,0,82746,0.063077,0,84350,0.030233,0,84480,0.018069,0,1309,0.330227,0,78662,0.028554,0,1067,0.12706551,0,398,0.45012312,0
Chromosome_1,14550001,90884,0.271565,0,77603,0.069348,0,77313,0.030891,0,77235,0.0171,0,1448,0.127099,0,72120,0.024753,0,1062,0.11145686,0,435,0.39152845,0
Chromosome_1,14650001,94904,0.271526,0,81919,0.063484,0,82019,0.030653,0,81736,0.014685,0,453,0.105057,0,79222,0.027986,0,876,0.13014116,0,476,0.33872072,0
Chromosome_1,14750001,96340,0.218659,0,83153,0.055611,0,83432,0.037954,0,80604,0.018963,0,1556,0.376243,0,79060,0.026339,0,1178,0.12482181,0,450,0.32656951,0
Chromosome_1,14850001,87637,0.215542,0,77876,0.070277,0,78499,0.029007,0,78061,0.021781,0,1445,0.411975,0,74429,0.03067,0,1036,0.09874911,0,451,0.3071077,0
